s_id,MCA0,ACA0,MCA1,ACA1,MCA2,ACA2,MCV0,ACV0,MCV1,ACV1,MCV2,ACV2,MNA0,ANA0,MNA1,ANA1,MNA2,ANA2,MNV0,ANV0,MNV1,ANV1,MNV2,ANV2
05,399.735400002101,456.851732075521,516.394199998103,570.787581428574,419.568799999979,528.159532258043,399.955200002296,435.003597872484,422.112299998844,444.766485915723,419.850999998744,480.365210344738,451.962050001384,524.680931481271,549.259049999819,596.707185294155,472.536499997659,614.47123333313,439.935000002151,525.234671698168,453.545399999712,507.700173912979,604.961750001166,580.059594117248
27,596.536600030959,651.642241444931,600.354100111872,681.425841641612,544.602700509131,652.713820018939,507.089899852872,559.959294432598,568.324099760503,623.957565719528,543.532049749047,550.850306451321,857.375049963593,903.859172257836,890.290099661797,883.387151516645,872.917599976063,895.534751537655,509.965200908482,551.054029360267,497.731450013816,563.559598622045,513.597600162029,557.764651493302
28,643.221250000352,678.541830435279,703.520550006942,730.855660937323,587.39069999865,644.088664285456,551.528200005123,533.726244737887,588.055700005498,596.337433846426,571.79869999527,559.087618519293,907.295100012561,916.281288680247,894.861300010234,915.548500000607,881.293999998888,895.439403333876,668.937599999481,679.24086226481,673.705599998357,712.945755882709,717.353799991542,732.788654285001
29,705.791199987289,734.526783675169,788.925200002268,770.613618031885,607.53950002254,683.471970372247,669.877200009068,674.531290912207,634.509499999695,696.964573528128,670.719399990048,697.862013792097,1014.67249999405,988.472170588519,950.547999993432,1004.74945970319,817.934899998363,905.161116125753,641.891399995075,731.937560002552,597.541350012762,644.747442858144,681.561500008684,685.794054287752
30,512.277050016564,590.055114999268,495.485499995993,610.916346157095,550.924549999763,587.508045003051,526.404200005345,594.994034283861,512.533749992144,570.974663460779,570.87570001022,592.426903705389,870.268899976509,898.736613330483,840.624600008596,870.276419671546,862.481000003754,910.756856250373,611.066700002993,632.969063046166,588.248100015335,629.611582090859,706.031299996539,696.284863333373
31,748.51679999847,781.184193473208,660.557249968406,770.010515505544,504.01079992298,608.903635488523,512.741600046866,567.120331109295,662.877999944612,701.152355736503,684.175900067203,667.462465513883,1056.25640001381,1049.94520416706,1064.65459999163,1081.72806779759,1043.91820001183,1070.0953874948,766.377149964683,827.252440007869,924.505700008012,926.455804478697,966.242750000674,928.052713322298
32,537.567549967207,641.266697930405,620.809450047091,699.692525704657,542.526600067504,617.941891425289,628.691700054333,678.3635196066,523.629500064999,597.039326090717,551.61990004126,581.944554272507,819.243900012225,850.152562266954,821.291300002486,851.158886958939,842.662599985488,852.423600004321,513.458300032653,563.868360787941,533.084199996665,618.739498572956,540.74710002169,578.108172729668
33,463.648700038902,513.451645293554,484.175099933054,531.308915720521,418.521750019863,461.17149999999,392.370849964209,407.822065388945,428.974100039341,445.981394199223,375.213599996641,410.757112498686,702.151800040156,727.358912253201,774.824749969412,783.947574284061,735.78270006692,770.669655573632,509.147549979389,543.279712950742,487.003849993926,503.094668058717,486.231799935922,505.336245458404
34,623.039849917404,685.794219991658,590.109949931502,671.581569996973,472.545600030571,556.060781822342,559.629800030962,603.257443780118,522.297699935734,566.141446273941,517.260949942283,573.673776467331,859.499000012875,915.983523058598,867.064999998547,897.672345591298,911.924649961293,958.318831239012,625.357350101694,644.908034627756,575.689099961892,623.602750786365,651.909800013527,654.358254279941
35,473.36740011815,618.816568003967,509.318149997853,599.616591178346,523.105799918994,562.702327766197,570.424400037155,632.611696083354,526.392350089736,605.155152943232,627.145299920812,661.198836327954,824.157700175419,855.157927441064,905.773800099269,957.226250751583,830.622999928892,854.216514294967,431.031400104985,491.468439216488,458.872199989855,565.314438026792,413.640649989247,520.616021894966
