s_id,MCA0,ACA0,MCA1,ACA1,MCA2,ACA2,MCV0,ACV0,MCV1,ACV1,MCV2,ACV2,MNA0,ANA0,MNA1,ANA1,MNA2,ANA2,MNV0,ANV0,MNV1,ANV1,MNV2,ANV2
70,630.001300014555,695.460043938422,591.829599812627,679.909724620033,441.132600186393,554.528832136254,509.779899846762,569.11514874366,534.619600046426,580.795108226174,603.105799760669,643.348992577995,456.760500092059,536.177282367705,434.433300048113,558.086727014078,429.55829994753,542.231475750944,476.967350114137,526.048522014171,483.342249877751,540.881629147205,471.386900171638,560.453127265315
71,962.755599990487,866.472991152356,941.752150189131,902.282091664771,1000.47850003466,968.931993991701,698.382849805057,704.029788442243,750.145699828863,812.460322440393,727.053199894726,744.839037209749,698.474499862641,709.432964724507,633.891799952835,703.202890012679,649.410399608314,738.696372700912,604.984400095418,637.627742563685,609.984499868006,650.317723228448,603.786299936473,600.782744392442
72,747.456700541079,861.45039263931,727.129650302231,783.1381292821,682.913399301469,776.57745550904,716.445799916983,726.125086007943,603.269099723548,637.163878799501,661.372850183398,702.96672663341,456.465450115502,505.111002181049,449.292299803346,509.631019386072,416.511999908835,490.253996403356,457.147000357509,472.479498051867,496.768000535667,557.484109180443,430.976099334657,460.26952910207
73,795.173300430179,824.746039521415,739.000299945474,811.057586879393,650.038149673492,739.060442794913,740.970149636269,743.019326002863,755.777799524367,796.33165419228,849.456000141799,840.236925730301,597.313649952412,652.889187517576,516.843399964273,609.574811104389,467.870749998838,539.850626730671,561.545199714601,604.286316018552,664.912649895996,660.094634396955,579.19880002737,615.233778196853
75,537.116850260645,573.265412453717,563.01704980433,608.756245382017,526.664099656045,576.624106708914,472.145549952984,500.450936575922,429.487349931151,458.787617180496,456.897450145334,501.137377745989,340.968700125813,439.905445073165,350.435049738735,415.982482848423,309.242499992251,340.168120640823,364.518450107425,407.096138528477,403.192500118166,449.540717568358,398.932250216603,423.970517757184
76,954.216900281608,957.249686249769,981.874099932611,954.381237279123,827.293899841607,865.651524174168,766.006799414754,765.206433920506,759.821499697864,751.012589915523,754.784800112247,766.933730467119,557.929700240493,586.356839238136,624.459649901837,670.065947239184,619.271200150251,651.981511419373,580.023849848658,576.491822212659,543.372699990869,573.987343650259,550.865199882537,598.048599928411
77,424.095849506557,560.314056191904,518.944200128317,608.686824497141,443.271200172603,567.16563103014,446.176099590957,526.797644483546,408.507450018078,515.063045357238,465.974899940193,485.253282790554,333.972950000316,414.887809958309,366.19250010699,480.267085318194,343.634350225329,401.731678197393,357.714150566608,453.592215431854,369.265899993479,454.293499993426,422.364849597216,507.43248516365
78,485.804699826986,515.259349893313,479.568200185895,510.242851477649,303.009700030088,454.882100224495,374.441900290549,457.582611124963,447.604900225997,506.626943302517,694.149100221694,694.149100221694,389.546600170434,386.10983084744,388.17869964987,450.637679585085,369.124650023878,389.262159913778,411.294399760664,433.110695199243,363.237500190735,432.471610781913,407.777800224721,492.326566949487
79,674.877699930221,711.221038723703,735.945799387991,754.508019424975,540.15690041706,578.986839981129,591.136300005019,620.953117625094,641.73199981451,677.751392854944,627.512799575925,659.278068585055,429.97454944998,531.043244167589,480.038749519736,576.570291250177,446.671499870718,485.462380663281,520.437200553715,570.452467367357,447.22400046885,512.255775030045,515.205100178719,580.436285691602
80,677.78894957155,713.517057970166,655.867899768054,717.042194200414,607.155899982899,631.215526660283,716.959499754012,700.700284965899,731.945900246501,707.87695288392,704.741900321096,709.090030571032,575.560600496829,578.737807495274,580.214300192893,576.139904410187,551.031299866736,575.795742949205,625.116999261081,623.445124541111,598.361050244421,610.862004195547,622.795550152659,625.880033372798
81,898.245250340551,863.185151983052,865.753650199622,841.836568768485,737.021049484611,746.520250017056,561.487200669944,616.257623550208,612.67579998821,650.022218074424,478.674800135195,522.043955841047,750.972949899733,792.713094234037,601.174450013787,693.505243920354,686.446500010788,717.703100001173,613.521500024945,667.712323045215,600.966299884021,653.689042030685,658.800999633968,641.035025673253
83,637.467549648136,643.192533326025,641.638599801809,703.300390942869,586.065500043333,614.736480052982,492.177999578416,510.997041110315,535.279599949718,548.70561974674,551.826900336891,556.613697101259,585.986349731684,605.476974993228,616.737200412899,675.556701525827,497.004400007427,545.46757720943,380.874599795789,408.344061579555,396.879900246859,413.235773279948,371.403999626637,434.455673429458
84,818.091949913651,819.712447785688,860.638000071049,841.439293989383,751.078349538147,781.605717589093,745.227300561965,775.870531176527,800.655050203204,803.424583816463,776.064999401569,795.597612067605,650.554750114679,668.713840369422,604.82900030911,647.168249278688,638.7082003057,683.916639480175,616.802900098264,635.420454921676,580.250800121576,594.961392879486,576.039150357246,646.870283316821
85,661.271700169891,679.026636963143,757.957550231367,766.707131794343,683.326000347733,740.251487854755,645.709200296551,660.494392617019,653.122399933636,674.433705513366,638.415400404483,658.902358341341,564.245200250298,591.471618524304,548.503499943763,585.685074963193,551.355100236833,572.143677196332,502.541900146753,504.740753693989,491.420700214803,547.982429167152,531.140500213951,539.341477780706
86,607.029600068927,698.087133405109,622.996050398797,684.59692504257,507.373999804258,582.019777427758,400.264199823141,512.403711290011,480.968799907714,531.582563197898,430.83359953016,511.016978769366,424.557100050151,496.240473269588,360.754700377584,424.093614790405,350.074699614197,426.934529996167,366.835500113666,374.722539143556,335.817500017583,391.974263093793,329.364800825715,368.997896751088
